region_id,population_2011
Abbotsford,4819
Airport West,6931
Albert Park,15356
Alexandra,5939
Alfredton,8226
Alphington  Fairfield,8127
Alps  East,0
Alps  West,26
Altona,11667
Altona Meadows,18640
Altona North,12972
Ararat,7961
Ararat Region,2855
Ardeer  Albion,7191
Armadale,8694
Ascot Vale,13351
Ashburton ,7498
Ashwood  Chadstone,16272
Aspendale Gardens  Waterways,8644
Avoca,3195
Bacchus Marsh,17017
Bacchus Marsh Region,5475
Bairnsdale,13076
Ballarat,12447
Ballarat  North,21561
Ballarat  South,22654
Balwyn,15476
Balwyn North,19776
Bannockburn,4614
Bayswater,11141
Bayswater North,11350
Beaconsfield  Officer,7956
Beaufort,3728
Beaumaris,12556
Beechworth,4174
Belgrave  Selby,9881
Belmont,13601
Benalla,10035
Benalla Region,3282
Bendigo,14871
Bendigo Region  North,4085
Bendigo Region  South,6051
Bentleigh  McKinnon,20656
Bentleigh East,25721
Berwick  North,22019
Berwick  South,22887
Blackburn,19676
Blackburn South,10520
Boronia  The Basin,24751
Box Hill,17919
Box Hill North,16335
Braeside,46
Braybrook,16173
Bright  Mount Beauty,13155
Brighton ,21091
Brighton East,15221
Broadmeadows,11776
Brunswick,22834
Brunswick East,8433
Brunswick West,13141
Bruthen  Omeo,7121
Bulleen,10815
Buloke,6252
Bundoora  East,9424
Bundoora  North,5493
Bundoora  West,6220
Buninyong,6616
Bunyip  Garfield,8034
Burwood,11010
Burwood East,10148
Cairnlea,8890
California Gully  Eaglehawk,9888
Camberwell,19752
Campbellfield  Coolaroo,16018
Camperdown,3370
Carlton,15344
Carlton North  Princes Hill,8248
Carnegie,16263
Caroline Springs,26190
Carrum  Patterson Lakes,10965
Carrum Downs,18970
Castlemaine,9580
Castlemaine Region,8011
Caulfield  North,19841
Caulfield  South,16547
Chelsea  Bonbeach,12728
Chelsea Heights,5088
Cheltenham  Highett (East),20228
Cheltenham  Highett (West),10024
Chiltern  Indigo Valley,2764
Chirnside Park,8959
Churchill,11120
Clarinda  Oakleigh South,11614
Clayton,18834
Clayton South,11675
Clifton Springs,11329
Cobram,6176
Coburg,25011
Coburg North,6668
Colac,11592
Colac Region,5132
Collingwood,6453
Corangamite  North,5286
Corangamite  South,7417
Corio  Norlane,25839
Craigieburn  Mickleham,34386
Cranbourne,18551
Cranbourne East,8117
Cranbourne North,14541
Cranbourne South,6607
Cranbourne West,8748
Creswick  Clunes,7336
Croydon,29119
Croydon Hills  Warranwood,17681
Dandenong,26571
Dandenong North,21845
Daylesford,8192
Deer Park  Derrimut,22328
Delacombe,5605
Delahey,8412
Dingley Village,10013
Docklands,7418
Doncaster,18347
Doncaster East,26948
Donvale  Park Orchards,15244
Doveton,10358
Dromana,8742
Drouin,12866
East Bendigo  Kennington,13454
East Melbourne,6742
Echuca,14154
Edithvale  Aspendale,11844
Elsternwick,10724
Eltham,22439
Elwood,14363
Emerald  Cockatoo,17085
Endeavour Hills,25468
Epping,27158
Essendon  Aberfeldie,24593
Essendon Airport,0
Euroa,5723
Fawkner,12645
Ferntree Gully,27902
Fitzroy,10249
Fitzroy North,11446
Flemington,9172
Flemington Racecourse,179
Flinders,5246
Flora Hill  Spring Gully,9162
Footscray,13719
Forest Hill,10165
Foster,8023
Frankston,21963
Frankston North,18879
Frankston South,17202
French Island,95
Gannawarra,6278
Geelong,12962
Geelong West  Hamlyn Heights,18568
Gisborne,10824
Gladstone Park  Westmeadows,17094
Glen Iris  East,15870
Glen Waverley  East,20725
Glen Waverley  West,19053
Glenelg ,8581
Glenroy  Hadfield,27626
Golden Plains  North,3934
Golden Plains  South,6008
Gordon ,5312
Greensborough,19992
Greenvale  Bulla,12075
Grovedale,19303
Hallam,10093
Hamilton ,10044
Hampton,16589
Hampton Park  Lynbrook,23735
Hastings  Somers,20023
Hawthorn,20923
Hawthorn East,13533
Healesville  Yarra Glen,12760
Heathcote,4002
Heidelberg  Rosanna,14323
Heidelberg West,13543
Highton,19130
Hillside,15467
Hoppers Crossing  North,18924
Hoppers Crossing  South,18503
Horsham,15745
Horsham Region,3338
Hughesdale,7106
Hurstbridge,3454
Irymple,6307
Ivanhoe,11122
Ivanhoe East  Eaglemont,7569
Kangaroo Flat  Golden Square,18120
Keilor,8230
Keilor Downs,13451
Keilor East,24120
Kensington,9700
Kerang,3814
Kew,23912
Kew East,6207
Keysborough,20009
Kilmore  Broadford,11897
Kilsyth,8353
Kinglake,3444
Kings Park ,13530
Kingsbury,10908
Knoxfield  Scoresby,12912
Koo Wee Rup,6429
Korumburra,8530
Kyabram,10447
Kyneton,8719
Lake King,0
Lakes Entrance,9468
Lalor,19867
Langwarrin,22291
Lara,15297
Laverton,5494
Leongatha,10079
Leopold,9776
Lilydale  Coldstream,17725
Lockington  Gunbower,3575
Loddon,6886
Longford  Loch Sport,3631
Lorne  Anglesea,4980
Lynbrook  Lyndhurst,11728
Lysterfield,6471
Macedon,3126
Maffra,12948
Maiden Gully,4256
Malvern  Glen Iris,19478
Malvern East,19796
Mansfield ,10944
Maribyrnong,10091
Maryborough ,7578
Maryborough Region,4867
Meadow Heights,14859
Melbourne,33851
Melbourne Airport,598
Melton,17633
Melton South,15756
Melton West,14111
Mentone,11439
Merbein,4528
Migratory  Offshore  Shipping ,992
Mildura,31298
Mildura Region,3867
Mill Park  North,18236
Mill Park  South,12219
Mitcham ,14633
Moe  Newborough,16240
Moira,2471
Monbulk  Silvan,5418
Montmorency  Briar Hill,15310
Montrose,6593
Moonee Ponds,13463
Moorabbin  Heatherton,8204
Moorabbin Airport,0
Mooroolbark,20378
Mooroopna,7581
Mordialloc  Parkdale,18507
Mornington,21991
Morwell,13822
Mount Baw Baw Region,6030
Mount Dandenong  Olinda,9455
Mount Eliza,16885
Mount Evelyn,9329
Mount Martha,16372
Mount Waverley  North,14796
Mount Waverley  South,17081
Moyne  East,6473
Moyne  West,8788
Mulgrave,17723
Murrumbeena,8539
Myrtleford,4499
Nagambie,3457
Narre Warren,25775
Narre Warren North,6885
Narre Warren South,28492
Newcomb  Moolap,14572
Newport,15893
Newtown ,9548
Nhill Region,6993
Niddrie  Essendon West,6222
Noble Park,28535
Noble Park North,7373
North Geelong  Bell Park,13905
North Melbourne,16643
Northcote,22673
Numurkah,12013
Nunawading,10896
Oakleigh  Huntingdale,20312
Ocean Grove  Barwon Heads,17651
Orbost,6711
Ormond  Glen Huntly,12360
Otway,3250
Pakenham  North,12534
Pakenham  South,21172
Panton Hill  St Andrews,4903
Parkville,8193
Pascoe Vale,20602
Pascoe Vale South,9407
Paynesville,5454
Pearcedale  Tooradin,7324
Phillip Island,9299
Plenty  Yarrambat,8863
Point Cook,32513
Point Nepean,15272
Port Melbourne,14313
Port Melbourne Industrial,5
Portarlington,6169
Portland,10421
Prahran  Windsor,17786
Preston,30184
Queenscliff,3906
Red Cliffs,5370
Research  North Warrandyte,6479
Reservoir  East,24611
Reservoir  West,22924
Richmond ,26600
Riddells Creek,3652
Ringwood,15872
Ringwood East,18863
Ringwood North,9065
Robinvale,3622
Rochester,3650
Rockbank  Mount Cottrell,2662
Romsey,8425
Rosebud  McCrae,18996
Rosedale,4449
Rowville  Central,15024
Rowville  North,7988
Rowville  South,10708
Roxburgh Park  Somerton,20114
Rushworth,3994
Rutherglen,3608
Sale,14081
Sandringham  Black Rock,14990
Seabrook,4946
Seaford ,15745
Seddon  Kingsville,8369
Seymour,6322
Seymour Region,4348
Shepparton  North,17216
Shepparton  South,21291
Shepparton Region  East,3821
Shepparton Region  West,9532
Skye  Sandhurst,10471
Smythes Creek,3663
Somerville,17122
South Melbourne,10096
South Morang,38041
South Yarra  East,15601
South Yarra  West,6691
Southbank,15599
Southern Grampians,6268
Springvale,19783
Springvale South,12181
St Albans  North,18913
St Albans  South,16444
St Arnaud,3476
St Kilda,23887
St Kilda East,15681
Stawell,8351
Strathfieldsaye,6806
Strathmore,8924
Sunbury,12502
Sunbury  South,23884
Sunshine,8793
Sunshine North,10603
Sunshine West,16734
Surrey Hills (East)  Mont Albert,9763
Surrey Hills (West)  Canterbury,15701
Swan Hill,10460
Swan Hill Region,6434
Sydenham,11476
Tarneit,21965
Taylors Hill,15398
Taylors Lakes,17904
Templestowe,16338
Templestowe Lower,13042
Thomastown,20336
Thornbury,17377
Toorak,12805
Torquay,14621
Towong,5622
Trafalgar ,6807
Traralgon,25418
Truganina,11293
Tullamarine,6514
Upper Yarra Valley,233
Upwey  Tecoma,9612
Vermont,9774
Vermont South,11316
Viewbank  Yallambie,18039
Wallan,11777
Wandin  Seville,7266
Wangaratta,17592
Wangaratta Region,8894
Wantirna,14020
Wantirna South,17306
Warragul,16515
Warrandyte  Wonga Park,9871
Warrnambool  North,19037
Warrnambool  South,13148
Watsonia,8877
Wattle Glen  Diamond Creek,13179
Wendouree  Miners Rest,13927
Werribee,29458
Werribee  South,10512
West Footscray  Tottenham,10225
West Melbourne,0
West Wimmera,2808
West Wodonga,14329
Wheelers Hill,18973
White Hills  Ascot,8589
Whittlesea,7230
Williamstown,14795
Wilsons Promontory,9
Winchelsea,5539
Wodonga,21029
Wonthaggi  Inverloch,20271
Woodend,6285
Wyndham Vale,17229
Yackandandah,4295
Yallourn North  Glengarry,4309
Yarra  North,8041
Yarra Valley,15696
Yarram,5075
Yarraville,13591
Yarrawonga,7085
Yarriambiack,6792
Yea,3339
